資料集Id,資料集名稱,資料集提供機關名稱,資料集連結,主要欄位說明,資料資源下載連結,資料資源檔案格式,metadata文字編碼
7381,財政法規鬆綁明細,財政部法制處,data.gov.tw/node/7381,本部法規鬆綁明細,http://www.mof.gov.tw/File/Attach/1240/File_7855.csv,CSV,"UTF-8,Unicode"
7382,財政部法規異動表,財政部法制處,data.gov.tw/node/7382,財政部最新法規異動表,http://www.mof.gov.tw/File/Attach/1229/File_7853.csv,CSV,UTF-8
7383,青年安心成家貸款,財政部國庫署,data.gov.tw/node/7383,「受理情形」、「撥貸情形」,http://www.nta.gov.tw/opendata/公股銀行辦理青年安心成家貸款統計資料/104年8月公股銀行辦理青年安心成家貸款統計資料.csv,CSV,UTF-8
7384,財政部直接投資事業之持股情形,財政部國庫署,data.gov.tw/node/7384,「事業名稱」、「實際持股比率」,http://www.nta.gov.tw/_admin/_upload/Announce/956/file/財政部直接投資事業之持股情形.csv,CSV,UTF-8
7385,財政部國庫券標售概況表,財政部國庫署,data.gov.tw/node/7385,「期別」、「天期」、「發?日」、「到期日」、「發??」、「實收?」、「?息費用」、「投標總額」、「投標倍?」、「最高得標利率」,http://www.nta.gov.tw/_admin/_upload/Announce/751/file/中央政府國庫券標售概況表.csv,CSV,UTF-8
7386,菸酒市場佔有率分析表,財政部國庫署,data.gov.tw/node/7386,「國產及進口紙菸類總量表」、「國產及進口非紙菸類(菸絲、雪茄、鼻菸、嚼菸、其他菸品)總量表」、「國產及進口酒類總量表」,http://www.nta.gov.tw/_admin/_upload/Announce/8288/pic/files/%E8%8F%B8%E9%85%92%E5%B7%BF%E5%A0%B4%E5%8D%A0%E6%9C%89%E7%8E%87%E5%88%86%E6%9E%90%E8%A1%A8.csv,CSV,UTF-8
7387,營利事業所得稅暫繳申報收件統計表,財政部財政資訊中心,data.gov.tw/node/7387,"資料年度、申報類別(一般案件、試算案件)、申報方式(人工、網路)、統計金額來源(暫繳申報書第02欄、06欄、試算表第60欄、第64欄)、件數、金額(百萬元,百萬元以下四捨五入)",http://www.fia.gov.tw/public/Attachment/510209273771.csv,CSV,UTF-8
7545,國家賠償統計資料,財政部法制處,data.gov.tw/node/7545,本部最新國家賠償事件統計,http://www.mof.gov.tw/File/Attach/70810/File_7780.csv,CSV,UTF-8
8177,國庫署各年度獎補助費,財政部國庫署,data.gov.tw/node/8177,支用事由、對象、金額,http://www.nta.gov.tw/opendata/國庫署各年度獎補助費.csv,CSV,UTF-8
8196,各月別國產及進口水果釀造酒類數量表,財政部國庫署,data.gov.tw/node/8196,月別、國產數量、進口數量、結構比,http://www.nta.gov.tw/_admin/_upload/Announce/8288/pic/files/%E5%90%84%E6%9C%88%E5%88%A5%E5%9C%8B%E7%94%A2%E5%8F%8A%E9%80%B2%E5%8F%A3%E6%B0%B4%E6%9E%9C%E9%87%80%E9%80%A0%E9%85%92%E9%A1%9E%E6%95%B8%E9%87%8F%E8%A1%A8.csv,CSV,UTF-8
8197,各月別國產及進口白蘭地數量表,財政部國庫署,data.gov.tw/node/8197,月別、國產數量、進口數量、結構比,http://www.nta.gov.tw/_admin/_upload/Announce/8288/pic/files/%E5%90%84%E6%9C%88%E5%88%A5%E5%9C%8B%E7%94%A2%E5%8F%8A%E9%80%B2%E5%8F%A3%E7%99%BD%E8%98%AD%E5%9C%B0%E6%95%B8%E9%87%8F%E8%A1%A8.csv,CSV,UTF-8
8198,各月別國產及進口再製酒類數量表,財政部國庫署,data.gov.tw/node/8198,月別、國產數量、進口數量、結構比,http://www.nta.gov.tw/_admin/_upload/Announce/8288/pic/files/%E5%90%84%E6%9C%88%E5%88%A5%E5%9C%8B%E7%94%A2%E5%8F%8A%E9%80%B2%E5%8F%A3%E5%86%8D%E8%A3%BD%E9%85%92%E9%A1%9E%E6%95%B8%E9%87%8F%E8%A1%A8.csv,CSV,UTF-8
8199,各月別國產及進口其他酒類數量表,財政部國庫署,data.gov.tw/node/8199,月別、國產數量、進口數量、結構比,http://www.nta.gov.tw/_admin/_upload/Announce/8288/pic/files/%E5%90%84%E6%9C%88%E5%88%A5%E5%9C%8B%E7%94%A2%E5%8F%8A%E9%80%B2%E5%8F%A3%E5%85%B6%E4%BB%96%E9%85%92%E9%A1%9E%E6%95%B8%E9%87%8F%E8%A1%A8.csv,CSV,UTF-8
8200,辦理政策宣導相關明細,財政部國庫署,data.gov.tw/node/8200,媒體型式、廣告主要內容、刊登及託播對象、刊登及播出時間、刊登及播出次數、刊登或託播金額,http://www.nta.gov.tw/opendata/辦理政策宣導相關明細.csv,CSV,UTF-8
8221,國庫集中支付業務─國庫支票簽發及匯款作業量,財政部國庫署,data.gov.tw/node/8221,支票及匯款數、百分比,http://www.nta.gov.tw/_admin/_upload/Announce/6254/file/國庫支票簽發及匯款作業量.csv,CSV,UTF-8
8222,國庫集中支付業務─歷年實施電子支付機關統計表,財政部國庫署,data.gov.tw/node/8222,年度、支用機關數、實施電子支付機關、未實施電子支付機關,http://www.nta.gov.tw/_admin/_upload/Announce/4496/file/國庫集中支付作業歷年實施電子支付機關統計表.csv,CSV,UTF-8
8223,中央特別統籌分配稅款支出明細,財政部國庫署,data.gov.tw/node/8223,撥付日期、撥付對象、撥付事由、撥付金額,http://www.nta.gov.tw/_admin/_upload/Announce/748/file/中央特別統籌分配稅款支出明細.csv,CSV,UTF-8
8224,中央政府建設公債標售概況表,財政部國庫署,data.gov.tw/node/8224,期別、發行數額、發行日期、年期、票面利率、競標數額、投標數額、投標倍數、最高標利率合年息、最低標利率合年息、加權平均利率合年息,http://www.nta.gov.tw/_admin/_upload/Announce/5318/file/中央政府建設公債標售概況表.csv,CSV,UTF-8
8225,地方政府收支餘絀概況,財政部國庫署,data.gov.tw/node/8225,歲入、歲出、收支,http://www.nta.gov.tw/_admin/_upload/Announce/825/file/地方政府歲入歲出餘絀概況表.csv,CSV,UTF-8
8226,國庫集中支付業務─庫款支付金額分析及統計,財政部國庫署,data.gov.tw/node/8226,可支庫款、支付庫款數、金額,http://www.nta.gov.tw/_admin/_upload/Announce/6245/file/%E5%BA%AB%E6%AC%BE%E6%94%AF%E4%BB%98%E9%87%91%E9%A1%8D%E5%88%86%E6%9E%90%E5%8F%8A%E7%B5%B1%E8%A8%88.csv,CSV,UTF-8
8227,國庫集中支付業務─預算管制作業量,財政部國庫署,data.gov.tw/node/8227,憑證類別、處理數量,http://www.nta.gov.tw/_admin/_upload/Announce/6244/file/預算管制作業量.csv,CSV,UTF-8
8228,中央政府近年作業賸餘繳庫數,財政部國庫署,data.gov.tw/node/8228,決審數、院決數、預算案,http://www.nta.gov.tw/_admin/_upload/ContentB/225/file/中央政府近年作業賸餘繳庫數.csv,CSV,UTF-8
8229,中央政府近年投資收益繳庫數,財政部國庫署,data.gov.tw/node/8229,決審數、院決數、預算案,http://www.nta.gov.tw/_admin/_upload/ContentB/225/file/中央政府近年投資收益繳庫數.csv,CSV,UTF-8
8230,中央政府近年營業盈餘繳庫數,財政部國庫署,data.gov.tw/node/8230,決審數、院決數、預算案,http://www.nta.gov.tw/_admin/_upload/ContentB/225/file/中央政府近年營業盈餘繳庫數.csv,CSV,UTF-8
8262,海關監管保稅倉庫清冊,財政部關務署,data.gov.tw/node/8262,監管編號、保稅倉庫名稱、倉庫位置地點、倉庫性質及是否經核准自主管理、監管單位、備註,http://web.customs.gov.tw/public/Attachment/462315222971.csv,CSV,UTF-8
8263,保稅工廠清冊,財政部關務署,data.gov.tw/node/8263,編號、保稅工廠名稱、統一編號、廠址、工廠電話,http://web.customs.gov.tw/downloadFile.asp?d=1&i=63008&f=510141412871.csv,CSV,UTF-8
8264,科學工業園區監管廠商名冊,財政部關務署,data.gov.tw/node/8264,監管編號、公司名稱、統一編號、聯絡電話、備註,http://web.customs.gov.tw/public/Attachment/46231523671.csv,CSV,UTF-8
8265,海關相關公(工)會名冊,財政部關務署,data.gov.tw/node/8265,項次、公〈工〉會名稱、地址、電話號碼,http://web.customs.gov.tw/public/Attachment/462315232471.csv,CSV,UTF-8
8266,貨棧業者名冊,財政部關務署,data.gov.tw/node/8266,公司名稱、電話、轄區、地址、備註,http://web.customs.gov.tw/public/Attachment/462315234171.csv,CSV,UTF-8
8267,物流中心名冊,財政部關務署,data.gov.tw/node/8267,保稅倉庫名稱、倉庫位置地點、監管單位、備註,http://web.customs.gov.tw/public/Attachment/462315235971.csv,CSV,UTF-8
8268,快遞業者名單,財政部關務署,data.gov.tw/node/8268,業者名稱、電話號碼,http://web.customs.gov.tw/public/Attachment/462315241671.csv,CSV,UTF-8
8269,通關即時服務窗口,財政部關務署,data.gov.tw/node/8269,單位、聯絡人、電話、備註(傳真) ,http://web.customs.gov.tw/public/Attachment/462315243571.csv,CSV,UTF-8
8270,水產類(第3章)年度進口量,財政部關務署,data.gov.tw/node/8270,"貨品分類、中文貨名、英文貨名、國家、重量、重量單位	價值",http://web.customs.gov.tw/public/Attachment/462315245371.csv,CSV,UTF-8
8271,貨櫃集散站業者名冊,財政部關務署,data.gov.tw/node/8271,公司名稱、統一編號、電話、轄區、地址、備註,http://web.customs.gov.tw/public/Attachment/462315251271.csv,CSV,UTF-8
8272,自行報關名冊,財政部關務署,data.gov.tw/node/8272,報關箱號、廠商名稱、統一編號、電話號碼、廠商地址,http://web.customs.gov.tw/public/Attachment/462315252771.csv,CSV,UTF-8
8273,保稅卡車名冊,財政部關務署,data.gov.tw/node/8273,編號、運輸業名稱、統一編號、營業地址、電話號碼,http://web.customs.gov.tw/public/Attachment/462315254271.csv,CSV,UTF-8
8274,加工出口區名冊,財政部關務署,data.gov.tw/node/8274,監管編號、廠商名稱、統一編號、電話號碼、地址,http://web.customs.gov.tw/public/Attachment/4623152602.csv,CSV,UTF-8
8275,免稅商店及離島免稅購物商店業者名冊,財政部關務署,data.gov.tw/node/8275,類別、名稱、地址、電話、備註,http://web.customs.gov.tw/public/Attachment/462315261871.csv,CSV,UTF-8
8276,不受理報關原因,財政部關務署,data.gov.tw/node/8276,代碼、補正情形、代碼意義、備註,http://web.customs.gov.tw/public/Attachment/462315263771.csv,CSV,UTF-8
8277,受理電傳退押電話,財政部關務署,data.gov.tw/node/8277,關別、經辦單位、電話號碼、傳真機號碼、備註,http://web.customs.gov.tw/public/Attachment/462315265571.csv,CSV,UTF-8
8278,海關電話傳真語音服務,財政部關務署,data.gov.tw/node/8278,單位、總機電話、傳真號碼、服務專線、免費服務專線、地址,http://web.customs.gov.tw/public/Attachment/462315271171.csv,CSV,UTF-8
8279,優質企業安全審查項目及驗證基準,財政部關務署,data.gov.tw/node/8279,E-出口商   I-進口商    M-製造商   F-承攬業者   B-報關業者   W-倉儲業者    H-公路運輸業者  A-航空運輸業者   P-港埠經營業者   S-海運運輸業者,http://web.customs.gov.tw/public/Attachment/462315274971.csv,CSV,UTF-8
8280,聯合國地方代碼,財政部關務署,data.gov.tw/node/8280,代碼、實體中文名、實體英文縮寫、備註,http://web.customs.gov.tw/public/Attachment/462315273071.csv,CSV,UTF-8
8281,錯單或應補辦事項,財政部關務署,data.gov.tw/node/8281,代碼、描述,http://web.customs.gov.tw/public/Attachment/46231528771.csv,CSV,UTF-8
8322,中央政府各機關（機構）徵收或購置已逾15年未完成產權移轉登記土地處理情形彙整統計表,財政部國有財產署,data.gov.tw/node/8322,"主管機關,管理機關,類別, 列管案件, 已處理結案, 尚未處理結案, 誤列",http://www.fnp.gov.tw/opendata/attach.php?source_id=504,CSV,UTF-8
8323,各機關經管國有公用不動產被占用暨處理情形統計表,財政部國有財產署,data.gov.tw/node/8323,"主管機關,管理機關,被占用地尚未處理結案筆數, 被占用地尚未處理結案面積(平方公尺) ,備註",http://www.fnp.gov.tw/opendata/attach.php?source_id=505,CSV,UTF-8
8324,國有公務用財產數量價值統計表,財政部國有財產署,data.gov.tw/node/8324,"非珍貴及珍貴動產不動產之總值,土地面積及價值,土地改良物數量及價值,房屋建築及設備數量及價值,機械及設備價值,交通及運輸設備價值,什項設備價值,有價證券價值,權利價值",http://www.fnp.gov.tw/opendata/attach.php?source_id=506,CSV,UTF-8
8325,國有公共用財產數量價值統計表,財政部國有財產署,data.gov.tw/node/8325,"非珍貴及珍貴動產不動產之總值,土地面積及價值,土地改良物數量及價值,房屋建築及設備數量及價值,機械及設備價值,交通及運輸設備價值,什項設備價值,有價證券價值,權利價值",http://www.fnp.gov.tw/opendata/attach.php?source_id=507,CSV,UTF-8
8326,國有事業用財產數量價值統計表,財政部國有財產署,data.gov.tw/node/8326,"非珍貴及珍貴動產不動產之總值,土地面積及價值,土地改良物數量及價值,房屋建築及設備數量及價值,機械設備價值,交通及運輸設備價值,雜項設備價值,有價證券價值,權利價值",http://www.fnp.gov.tw/opendata/attach.php?source_id=508,CSV,UTF-8
8327,國有非公用財產數量價值統計表,財政部國有財產署,data.gov.tw/node/8327,"非珍貴及珍貴動產不動產之總值,土地面積及價值,土地改良物數量及價值,房屋建築及設備數量及價值,機械設備價值,交通及運輸設備價值,雜項設備價值,有價證券價值,權利價值",http://www.fnp.gov.tw/opendata/attach.php?source_id=509,CSV,UTF-8
8328,國有非公用房地用途數量價值統計表,財政部國有財產署,data.gov.tw/node/8328,"管理機關,房屋基地面積及價值,其他建築用地面積及價值,直接生產用地面積及價值,交通水利用地面積及價值,荒蕪地面積及價值,房屋及設備棟數及價值,其他建築及設備棟數及價值",http://www.fnp.gov.tw/opendata/attach.php?source_id=510,CSV,UTF-8
8329,國有非公用房屋管理統計表,財政部國有財產署,data.gov.tw/node/8329,"管理機關,待勘查,待處理,閒置,保留,占用,出租,借用,委託經營,委託管理,改良利用,無償撥用,有償撥用,出售,註銷產籍",http://www.fnp.gov.tw/opendata/attach.php?source_id=511,CSV,UTF-8
8332,中央統籌分配稅款實徵情形表,財政部國庫署,data.gov.tw/node/8332,稅目、原估收入數、實際收入數、達成率,http://www.nta.gov.tw/_admin/_upload/Announce/828/file/中央統籌分配稅款實徵情形表.csv,CSV,UTF-8
8345,採購標案資料,財政部,data.gov.tw/node/8345,財政部年度已簽約採購標案資料一覽表,http://www.mof.gov.tw/File/Attach/63321/File_7903.csv,CSV,UTF-8
8355,臺閩地區營業稅自動報繳單位申報情形分析表(縣市別),財政部財政資訊中心,data.gov.tw/node/8355,各縣市申報家數、申報銷售額(應稅、免稅、零稅率及特種稅)、應實繳稅額及應退稅額,http://www.fia.gov.tw/public/attachment/68816253971.csv,CSV,UTF-8
8356,臺閩地區營業稅自動報繳單位申報情形分析表(行業別),財政部財政資訊中心,data.gov.tw/node/8356,各行業別申報家數、申報銷售額(應稅、免稅、零稅率及特種稅)、應實繳稅額及應退稅額,http://www.fia.gov.tw/public/attachment/68816264971.csv,CSV,UTF-8
8372,財政部各單位暨所屬機關新聞稿,財政部,data.gov.tw/node/8372,新聞稿,http://www.mof.gov.tw/rss.asp?xNode=2449,RSS,Unicode
